Date and Time Run 1,Time (s) Run 1,Temperature (°C) Run 1,Date and Time Run 2,Time (s) Run 2,Temperature (°C) Run 2
10/21/2020 02:10:55 pm,32.500,30.9,10/21/2020 02:12:48 pm,32.500,30.5
10/21/2020 02:10:56 pm,33.000,30.9,10/21/2020 02:12:49 pm,33.000,30.4
10/21/2020 02:10:56 pm,33.500,31.0,10/21/2020 02:12:49 pm,33.500,30.4
10/21/2020 02:10:57 pm,34.000,31.0,10/21/2020 02:12:50 pm,34.000,30.4
10/21/2020 02:10:57 pm,34.500,31.0,10/21/2020 02:12:50 pm,34.500,30.3
10/21/2020 02:10:58 pm,35.000,31.1,10/21/2020 02:12:51 pm,35.000,30.3
10/21/2020 02:10:58 pm,35.500,31.1,10/21/2020 02:12:51 pm,35.500,30.3
10/21/2020 02:10:59 pm,36.000,31.1,10/21/2020 02:12:52 pm,36.000,30.2
10/21/2020 02:10:59 pm,36.500,31.1,10/21/2020 02:12:52 pm,36.500,30.2
10/21/2020 02:11:00 pm,37.000,31.2,10/21/2020 02:12:53 pm,37.000,30.2
10/21/2020 02:11:00 pm,37.500,31.3,10/21/2020 02:12:53 pm,37.500,30.1
10/21/2020 02:11:01 pm,38.000,31.3,10/21/2020 02:12:54 pm,38.000,30.1
10/21/2020 02:11:01 pm,38.500,31.3,10/21/2020 02:12:54 pm,38.500,30.0
10/21/2020 02:11:02 pm,39.000,31.3,10/21/2020 02:12:55 pm,39.000,30.0
10/21/2020 02:11:02 pm,39.500,31.4,10/21/2020 02:12:55 pm,39.500,30.0
10/21/2020 02:11:03 pm,40.000,31.4,10/21/2020 02:12:56 pm,40.000,30.0
10/21/2020 02:11:03 pm,40.500,31.4,10/21/2020 02:12:56 pm,40.500,29.9
10/21/2020 02:11:04 pm,41.000,31.4,10/21/2020 02:12:57 pm,41.000,29.9
10/21/2020 02:11:04 pm,41.500,31.5,10/21/2020 02:12:57 pm,41.500,29.8
10/21/2020 02:11:05 pm,42.000,31.5,10/21/2020 02:12:58 pm,42.000,29.8
10/21/2020 02:11:05 pm,42.500,31.5,10/21/2020 02:12:58 pm,42.500,29.8
10/21/2020 02:11:06 pm,43.000,31.6,10/21/2020 02:12:59 pm,43.000,29.8
10/21/2020 02:11:06 pm,43.500,31.6,10/21/2020 02:12:59 pm,43.500,29.7
10/21/2020 02:11:07 pm,44.000,31.6,10/21/2020 02:13:00 pm,44.000,29.7
10/21/2020 02:11:07 pm,44.500,31.6,10/21/2020 02:13:00 pm,44.500,29.7
10/21/2020 02:11:08 pm,45.000,31.6,10/21/2020 02:13:01 pm,45.000,29.6
10/21/2020 02:11:08 pm,45.500,31.7,10/21/2020 02:13:01 pm,45.500,29.6
10/21/2020 02:11:09 pm,46.000,31.7,10/21/2020 02:13:02 pm,46.000,29.6
10/21/2020 02:11:09 pm,46.500,31.7,10/21/2020 02:13:02 pm,46.500,29.6
10/21/2020 02:11:10 pm,47.000,31.7,10/21/2020 02:13:03 pm,47.000,29.5
10/21/2020 02:11:10 pm,47.500,31.7,10/21/2020 02:13:03 pm,47.500,29.5
10/21/2020 02:11:11 pm,48.000,31.8,10/21/2020 02:13:04 pm,48.000,29.5
10/21/2020 02:11:11 pm,48.500,31.8,10/21/2020 02:13:04 pm,48.500,29.4
10/21/2020 02:11:12 pm,49.000,31.8,10/21/2020 02:13:05 pm,49.000,29.4
10/21/2020 02:11:12 pm,49.500,31.8,10/21/2020 02:13:05 pm,49.500,29.3
10/21/2020 02:11:13 pm,50.000,31.8,10/21/2020 02:13:06 pm,50.000,29.3
10/21/2020 02:11:13 pm,50.500,31.8,10/21/2020 02:13:06 pm,50.500,29.2
10/21/2020 02:11:14 pm,51.000,31.9,10/21/2020 02:13:07 pm,51.000,29.1
10/21/2020 02:11:14 pm,51.500,31.9,10/21/2020 02:13:07 pm,51.500,29.1
10/21/2020 02:11:15 pm,52.000,31.9,10/21/2020 02:13:08 pm,52.000,29.0
10/21/2020 02:11:15 pm,52.500,31.9,10/21/2020 02:13:08 pm,52.500,28.9
10/21/2020 02:11:16 pm,53.000,31.9,10/21/2020 02:13:09 pm,53.000,28.9
10/21/2020 02:11:16 pm,53.500,31.9,10/21/2020 02:13:09 pm,53.500,28.8
10/21/2020 02:11:17 pm,54.000,31.9,10/21/2020 02:13:10 pm,54.000,28.7
10/21/2020 02:11:17 pm,54.500,31.9,10/21/2020 02:13:10 pm,54.500,28.7
10/21/2020 02:11:18 pm,55.000,32.0,10/21/2020 02:13:11 pm,55.000,28.6
10/21/2020 02:11:18 pm,55.500,32.0,10/21/2020 02:13:11 pm,55.500,28.6
10/21/2020 02:11:19 pm,56.000,32.0,10/21/2020 02:13:12 pm,56.000,28.5
10/21/2020 02:11:19 pm,56.500,32.0,10/21/2020 02:13:12 pm,56.500,28.4
10/21/2020 02:11:20 pm,57.000,32.0,10/21/2020 02:13:13 pm,57.000,28.3
10/21/2020 02:11:20 pm,57.500,32.0,10/21/2020 02:13:13 pm,57.500,28.2
10/21/2020 02:11:21 pm,58.000,32.1,10/21/2020 02:13:14 pm,58.000,28.2
10/21/2020 02:11:21 pm,58.500,32.1,10/21/2020 02:13:14 pm,58.500,28.1
10/21/2020 02:11:22 pm,59.000,32.1,10/21/2020 02:13:15 pm,59.000,28.0
10/21/2020 02:11:22 pm,59.500,32.1,10/21/2020 02:13:15 pm,59.500,27.9
10/21/2020 02:11:23 pm,60.000,32.1,10/21/2020 02:13:16 pm,60.000,27.8
10/21/2020 02:11:23 pm,60.500,32.1,10/21/2020 02:13:16 pm,60.500,27.8
10/21/2020 02:11:24 pm,61.000,32.1,10/21/2020 02:13:17 pm,61.000,27.7
10/21/2020 02:11:24 pm,61.500,32.1,10/21/2020 02:13:17 pm,61.500,27.7
10/21/2020 02:11:25 pm,62.000,32.1,10/21/2020 02:13:18 pm,62.000,27.6
10/21/2020 02:11:25 pm,62.500,32.2,10/21/2020 02:13:18 pm,62.500,27.6
10/21/2020 02:11:26 pm,63.000,32.2,10/21/2020 02:13:19 pm,63.000,27.6
10/21/2020 02:11:26 pm,63.500,32.2,10/21/2020 02:13:19 pm,63.500,27.5
10/21/2020 02:11:27 pm,64.000,32.2,10/21/2020 02:13:20 pm,64.000,27.5
10/21/2020 02:11:27 pm,64.500,32.2,10/21/2020 02:13:20 pm,64.500,27.4
10/21/2020 02:11:28 pm,65.000,32.2,10/21/2020 02:13:21 pm,65.000,27.2
10/21/2020 02:11:28 pm,65.500,32.2,10/21/2020 02:13:21 pm,65.500,27.0
10/21/2020 02:11:29 pm,66.000,32.2,10/21/2020 02:13:22 pm,66.000,26.8
10/21/2020 02:11:29 pm,66.500,32.2,10/21/2020 02:13:22 pm,66.500,26.7
